1889.166667000	0.14	0.51
1889.250000000	0.16	0.30
1889.333333000	0.20	0.10
1889.416667000	0.27	-0.19
1889.500000000	0.15	-0.41
1889.583333000	-0.25	-0.52
1889.666667000	-0.51	-0.71
1889.750000000	-0.52	-0.92
1889.833333000	-0.60	-0.99
1889.916667000	-0.78	-1.20
1890.000000000	-0.90	-1.55
1890.083333000	-0.93	-1.43
1890.166667000	-0.91	-0.97
1890.250000000	-0.88	-0.72
1890.333333000	-0.85	-0.73
1890.416667000	-0.78	-0.85
1890.500000000	-0.73	-1.02
1890.583333000	-0.71	-1.23
1890.666667000	-0.63	-1.27
1890.750000000	-0.49	-1.12
1890.833333000	-0.40	-0.91
1890.916667000	-0.38	-0.63
1891.000000000	-0.38	-0.33
1891.083333000	-0.33	-0.12
1891.166667000	-0.23	-0.02
1891.250000000	-0.16	0.02
1891.333333000	-0.21	0.02
1891.416667000	-0.27	-0.06
1891.500000000	-0.20	-0.13
1891.583333000	-0.10	-0.14
1891.666667000	-0.09	-0.10
1891.750000000	-0.09	-0.01
1891.833333000	-0.04	0.07
1891.916667000	-0.03	-0.04
1892.000000000	-0.12	-0.24
1892.083333000	-0.18	-0.34
1892.166667000	-0.19	-0.47
1892.250000000	-0.16	-0.55
1892.333333000	-0.13	-0.49
1892.416667000	-0.14	-0.49
1892.500000000	-0.20	-0.59
1892.583333000	-0.29	-0.75
1892.666667000	-0.36	-1.01
1892.750000000	-0.43	-1.22
1892.833333000	-0.46	-1.11
1892.916667000	-0.40	-0.75
1893.000000000	-0.35	-0.52
1893.083333000	-0.37	-0.54
1893.166667000	-0.43	-0.74
1893.250000000	-0.45	-0.99
1893.333333000	-0.38	-1.13
1893.416667000	-0.36	-1.28
1893.500000000	-0.48	-1.44
1893.583333000	-0.60	-1.47
1893.666667000	-0.65	-1.41
1893.750000000	-0.69	-1.33
1893.833333000	-0.70	-1.19
1893.916667000	-0.69	-1.05
1894.000000000	-0.71	-1.07
1894.083333000	-0.77	-1.12
1894.166667000	-0.77	-1.04
1894.250000000	-0.71	-0.94
1894.333333000	-0.67	-0.89
1894.416667000	-0.65	-0.85
1894.500000000	-0.65	-0.77
1894.583333000	-0.71	-0.80
1894.666667000	-0.78	-0.91
1894.750000000	-0.74	-0.89
1894.833333000	-0.64	-0.74
1894.916667000	-0.57	-0.61
1895.000000000	-0.53	-0.55
1895.083333000	-0.49	-0.48
1895.166667000	-0.54	-0.39
1895.250000000	-0.62	-0.36
1895.333333000	-0.55	-0.36
1895.416667000	-0.38	-0.39
1895.500000000	-0.29	-0.25
1895.583333000	-0.25	0.03
1895.666667000	-0.22	0.08
1895.750000000	-0.23	0.01
1895.833333000	-0.28	0.07
1895.916667000	-0.35	0.09
1896.000000000	-0.42	-0.01
1896.083333000	-0.44	-0.05
1896.166667000	-0.39	0.00
1896.250000000	-0.33	0.00
1896.333333000	-0.28	-0.08
1896.416667000	-0.15	-0.07
1896.500000000	0.10	0.25
1896.583333000	0.31	0.59
1896.666667000	0.38	0.65
1896.750000000	0.36	0.63
1896.833333000	0.36	0.68
1896.916667000	0.36	0.72
1897.000000000	0.33	0.69
1897.083333000	0.36	0.54
1897.166667000	0.42	0.25
1897.250000000	0.39	-0.04
1897.333333000	0.35	-0.14
1897.416667000	0.34	-0.07
1897.500000000	0.35	0.04
1897.583333000	0.35	0.09
1897.666667000	0.14	-0.03
1897.750000000	-0.12	-0.28
1897.833333000	-0.23	-0.46
1897.916667000	-0.33	-0.51
1898.000000000	-0.41	-0.52
1898.083333000	-0.39	-0.49
1898.166667000	-0.40	-0.41
1898.250000000	-0.44	-0.34
1898.333333000	-0.45	-0.34
1898.416667000	-0.43	-0.37
1898.500000000	-0.42	-0.47
1898.583333000	-0.38	-0.56
1898.666667000	-0.26	-0.48
1898.750000000	-0.17	-0.41
1898.833333000	-0.11	-0.53
1898.916667000	0.01	-0.72
1899.000000000	0.09	-0.81
1899.083333000	0.03	-0.76
1899.166667000	0.00	-0.60
1899.250000000	0.09	-0.39
1899.333333000	0.15	-0.24
1899.416667000	0.12	-0.16
1899.500000000	0.16	0.01
1899.583333000	0.26	0.12
1899.666667000	0.29	0.22
1899.750000000	0.31	0.55
1899.833333000	0.39	0.86
1899.916667000	0.47	0.92
1900.000000000	0.47	0.79
1900.083333000	0.43	0.64
1900.166667000	0.39	0.54
1900.250000000	0.36	0.46
1900.333333000	0.29	0.38
1900.416667000	0.23	0.35
1900.500000000	0.16	0.39
1900.583333000	0.04	0.42
1900.666667000	-0.02	0.40
1900.750000000	0.01	0.39
1900.833333000	0.03	0.44
1900.916667000	0.07	0.60
1901.000000000	0.17	0.60
1901.083333000	0.21	0.37
1901.166667000	0.15	0.20
1901.250000000	0.06	0.12
1901.333333000	-0.02	-0.01
1901.416667000	-0.07	-0.14
1901.500000000	-0.03	-0.13
1901.583333000	0.05	-0.12
1901.666667000	0.03	-0.20
1901.750000000	-0.04	-0.25
1901.833333000	-0.03	-0.28
1901.916667000	0.02	-0.32
1902.000000000	0.07	-0.33
1902.083333000	0.12	-0.29
1902.166667000	0.14	-0.15
1902.250000000	0.20	0.20
1902.333333000	0.32	0.51
1902.416667000	0.39	0.62
1902.500000000	0.34	0.67
1902.583333000	0.27	0.74
1902.666667000	0.28	0.85
1902.750000000	0.37	0.85
1902.833333000	0.43	0.74
1902.916667000	0.43	0.67
1903.000000000	0.41	0.73
1903.083333000	0.36	0.80
1903.166667000	0.31	0.70
1903.250000000	0.25	0.45
1903.333333000	0.20	0.32
1903.416667000	0.15	0.28
1903.500000000	0.06	0.16
1903.583333000	-0.08	0.09
1903.666667000	-0.18	-0.01
1903.750000000	-0.20	-0.15
1903.833333000	-0.21	-0.26
1903.916667000	-0.22	-0.49
1904.000000000	-0.20	-0.65
1904.083333000	-0.17	-0.56
1904.166667000	-0.20	-0.40
1904.250000000	-0.20	-0.38
1904.333333000	-0.07	-0.37
1904.416667000	0.07	-0.15
1904.500000000	0.11	0.12
1904.583333000	0.11	0.19
1904.666667000	0.08	0.25
1904.750000000	0.00	0.27
1904.833333000	-0.10	0.20
