t,I,I_model,Manifold,Manifold_Empirical
1947.7500333,-39.7484,-9.151352376785013,0.12384760897139975,0.12600305
1947.8333333,-31.7085,-11.712973665278263,0.12355817654398564,0.12588892
1947.9166333,-18.4379,-13.010419764228889,0.12345828771768508,0.12577478
1948.0000333,-5.7829,-12.778166789770621,0.1234750400551171,0.12566065
1948.0833333,4.2568,-13.380974725529414,0.12343238151488475,0.12554651
1948.1666333,11.3734,-16.466007416836455,0.12324397836745639,0.12543238
1948.2500333,28.1821,-21.114381587672195,0.12300741542879556,0.12535414
1948.3333333,31.7601,-23.292692078072307,0.12290462418214286,0.12524
1948.4166333,30.7996,-21.102601645904308,0.12300797917806901,0.12512587
1948.5000333,22.1466,-17.46729172455717,0.12318977849217647,0.12501173
1948.5833333,25.4936,-16.723652168636626,0.12322979419865907,0.1248976
1948.6666333,34.456,-20.861192749816237,0.12301955738243608,0.12478346
1948.7500333,45.7259,27.954750785718446,0.0040245823673449935,0.00148157
1948.8333333,56.1497,26.078716566990135,0.0037346239641694273,0.00136744
1948.9166333,68.2658,25.189974345174768,0.003634735137868451,0.0012533
1949.0000333,62.9971,25.34649999230115,0.003651487475300499,0.00113917
1949.0833333,66.5746,24.94241445425072,0.0036088289350684434,0.00102503
1949.1666333,57.6136,22.974093105816856,0.003420425787639918,0.0009109
1949.2500333,42.1139,20.27152246807738,0.003183862848978981,0.00065584
1949.3333333,35.4604,19.10105769605768,0.003081071602326525,0.0005417
1949.4166333,34.73,20.2780135036619,0.003184426598252288,0.00042757
1949.5000333,42.4609,22.367069194353036,0.0033662259123596974,0.00031343
1949.5833333,44.1919,22.816510205682068,0.0034062416188427977,0.0001993
1949.6666333,36.9229,20.411421546654406,0.0031960048026022643,8.516e-5
1949.7500333,31.1921,20.029656228995076,0.04105665470620297,0.03987799
1949.8333333,26.3845,20.007429605324642,0.04076707203242776,0.03976385
1949.9166333,25.423,20.110172616761247,0.04066718320612702,0.03964972
1950.0000333,23.6151,20.09015797828407,0.040683935543559105,0.03953558
1950.0833333,28.1919,20.14290018533771,0.040641277003326884,0.03942145
1950.1666333,18.384,20.411699463189894,0.04045287385589864,0.03930731
1950.2500333,33.2683,20.63168104811837,0.040216310917237756,0.03931032
1950.3333333,43.768,20.598797563573672,0.04011351967058485,0.03919618
1950.4166333,39.7292,20.63157859949918,0.04021687466651083,0.03908205
1950.5000333,33.5364,20.484645948712526,0.04039867398061832,0.03896791
1950.5833333,10.8052,20.431482187792827,0.04043868968710113,0.03885378
1950.6666333,0.8432,20.628872642552004,0.04022845287095504,0.03873964
1950.7500333,-4.8883,-23.35896169319445,0.07731179468241384,0.0771117
1950.8333333,-7.1581,-22.187575330824398,0.07702196320704435,0.07699757
1950.9166333,-8.5819,-21.8854103555033,0.07692207438074385,0.07688343
1951.0000333,-4.852,-21.93251212355351,0.07693882671817587,0.0767693
1951.0833333,-13.6605,-21.815417460290185,0.07689616817794348,0.07665516
1951.1666333,-15.0075,-21.4129394028016,0.07670776503051509,0.07654103
1951.2500333,-26.047,-21.20063220162206,0.07647120209185428,0.07636068
1951.3333333,-51.3171,-21.2289035996131,0.07636841084520163,0.07624654
1951.4166333,-52.8951,-21.20069668316651,0.07647176584112723,0.07613241
1951.5000333,-43.8578,-21.33353211087028,0.07665356515523468,0.07601827
1951.5833333,-37.8205,-21.39051394338955,0.076693580861718,0.07590414
1951.6666333,-23.8601,-21.20252693604738,0.07648334404546889,0.07579
1951.7500333,-21.2076,10.615134153989635,-0.08135750259028972,-0.0819124
1951.8333333,-15.1705,8.521612374901045,-0.08144976940386094,-0.08179826
1951.9166333,-3.2872,10.74418026524148,-0.08135207133315887,-0.08168413
1952.0000333,5.2113,16.239312480676062,-0.08113773209872384,-0.08156999
1952.0833333,0.7098,20.51298630361422,-0.08098280374195296,-0.08145586
1952.1666333,8.6698,20.768935859748062,-0.08097361999237855,-0.08134172
1952.2500333,16.1681,19.683280573224415,-0.0810125960340365,-0.08117399
1952.3333333,33.6665,22.323097703753476,-0.08091780038368591,-0.08105985
1952.4166333,42.8571,30.270949429577698,-0.08061685849075712,-0.08094572
1952.5000333,36.3552,37.55547843626545,-0.08023747227964674,-0.08083158
1952.5833333,33.8534,39.676407785010696,-0.07999986967616073,-0.08071745
1952.6666333,22.89,39.616971323724194,-0.0800125195953177,-0.08060331
1952.7500333,24.388,9.718212183822661,0.10595864622393242,0.10571549
1952.8333333,31.2706,11.685589358117358,0.1056690973922246,0.10560135
1952.9166333,31.7686,12.121196332783923,0.10556920856592393,0.10548722
1953.0000333,19.651,12.056642196727969,0.10558596090335592,0.10537308
1953.0833333,23.7642,12.214304592346696,0.10554330236312366,0.10525895
1953.1666333,32.0313,12.646226739455312,0.10535489921569538,0.10514482
1953.2500333,29.7596,12.570744031671211,0.10511833627703453,0.10504843
1953.3333333,8.565,12.317898016144488,0.1050155450303817,0.1049343
1953.4166333,0.3704,12.571758250672701,0.10511890002630773,0.10482016
1953.5000333,7.7139,12.690287352206727,0.10530069934041522,0.10470603
1953.5833333,-10.327,12.661240952632294,0.10534071504689797,0.10459189
1953.6666333,-37.9834,12.591695062440923,0.10513047823065431,0.10447776
1953.7500333,-40.4092,-35.75578765296684,-0.011857989768725131,-0.01231148
1953.8333333,-50.8349,-34.16437388009852,-0.011950323154949928,-0.01219734
1953.9166333,-61.1068,-35.84577989073766,-0.011852625084247398,-0.01208321
1954.0000333,-56.6097,-39.14974986435892,-0.011638285849812384,-0.01196907
1954.0833333,-48.9587,-41.082787748404115,-0.011483357493041827,-0.01185494
1954.1666333,-56.5385,-41.18278696613291,-0.011474173743467287,-0.0117408
1954.2500333,-69.1954,-40.74652237135233,-0.011513149785125111,-0.01174349
1954.3333333,-69.3907,-41.752104597133226,-0.01141835413477471,-0.01162936
1954.4166333,-58.5861,-43.54404102247459,-0.011117412241846073,-0.01151522
1954.5000333,-62.0124,-42.338075056831926,-0.010738026030735657,-0.01140109
1954.5833333,-63.4386,-39.6543648398034,-0.010500423427249423,-0.01128695
1954.6666333,-48.1726,-39.830006273336686,-0.010513073346446251,-0.01117282
1954.7500333,-27.9837,-6.194298474688846,0.12046527277893711,0.1206291
1954.8333333,-17.487,0.3075943321122647,0.12017576888220546,0.12051497
1954.9166333,-3.2212,1.9141605882594355,0.12007588005590461,0.12040083
1955.0000333,13.7368,1.6707504251021248,0.12009263239333669,0.1202867
1955.0833333,12.0794,2.2692613573655365,0.12004997385310456,0.12017256
1955.1666333,7.422,4.039551604285653,0.11986157070567596,0.12005843
1955.2500333,12.3029,4.158679504626936,0.11962500776701505,0.12003706
1955.3333333,19.3377,3.4857301267744973,0.11952221652036273,0.11992292
1955.4166333,29.5263,4.161184843789513,0.11962557151628861,0.11980879
1955.5000333,38.5608,4.275527110739944,0.119807370830396,0.11969465
1955.5833333,44.8262,4.11328982751331,0.11984738653687896,0.11958052
1955.6666333,35.8608,4.209736999390179,0.11963714972072219,0.11946638
1955.7500333,39.3567,14.150528552606897,0.08201008211513333,0.08064836
1955.8333333,37.1604,15.138005700853752,0.08172012358341413,0.08053422
1955.9166333,37.2717,15.006478896958203,0.08162023475711351,0.08042009
1956.0000333,38.4597,15.047831650214562,0.08163698709454552,0.08030595
1956.0833333,40.0325,14.926724921076264,0.08159432855431323,0.08019182
1956.1666333,38.6052,13.744991123171372,0.0814059254068849,0.08007768
1956.2500333,49.87,10.714488106676086,0.08116936246822407,0.07987131
1956.3333333,43.1349,8.875624763727837,0.08106657122157129,0.07975717
1956.4166333,45.1689,10.723731742101602,0.08116992621749738,0.07964304
1956.5000333,25.4336,13.203137390792307,0.08135172553160486,0.0795289
1956.5833333,21.6983,13.612008535346392,0.08139174123808753,0.07941477
1956.6666333,12.5014,10.91149817862307,0.08118150442183913,0.07930063
1956.7500333,17.1505,18.391382467467867,0.008007435579203796,0.00672193
1956.8333333,16.9535,18.872343074416253,0.007717718633191753,0.00660779
